iter	AUC	Logloss	Recall	Precision	Accuracy	F1	Kappa	MCC
0	0.5752231073	0.6791483912	0	1	0.8107532832	0	0	0
1	0.5848547082	0.6661244032	0	1	0.8107532832	0	0	0
2	0.5881429017	0.6538906	0	1	0.8107532832	0	0	0
3	0.5894801752	0.6425310511	0	1	0.8107532832	0	0	0
4	0.5901728952	0.63187959	0	1	0.8107532832	0	0	0
5	0.593682081	0.6219223128	0	1	0.8107532832	0	0	0
6	0.5947251942	0.6127090897	0	1	0.8107532832	0	0	0
7	0.595725632	0.6039597129	0	1	0.8107532832	0	0	0
8	0.5963265949	0.5958113612	0	1	0.8107532832	0	0	0
9	0.5961861394	0.5882138391	0	1	0.8107532832	0	0	0
10	0.5963663431	0.5811701502	0	1	0.8107532832	0	0	0
11	0.5972896743	0.5745042965	0	1	0.8107532832	0	0	0
12	0.5976106015	0.5682861767	0	1	0.8107532832	0	0	0
13	0.59794975	0.5624801571	0	1	0.8107532832	0	0	0
14	0.598069194	0.5570494056	0	1	0.8107532832	0	0	0
15	0.5983885392	0.5519112783	0	1	0.8107532832	0	0	0
16	0.5984643304	0.5471432266	0	1	0.8107532832	0	0	0
17	0.5984620436	0.5427070716	0	1	0.8107532832	0	0	0
18	0.5987028429	0.5385392876	0	1	0.8107532832	0	0	0
19	0.5986453783	0.5346587224	0	1	0.8107532832	0	0	0
20	0.5987850352	0.5310026826	0	1	0.8107532832	0	0	0
21	0.5986426334	0.5276138777	0	1	0.8107532832	0	0	0
22	0.5986923221	0.5246115021	0	1	0.8107532832	0	0	0
23	0.5993294879	0.5215927811	0	1	0.8107532832	0	0	0
24	0.5997152005	0.5188278649	0	1	0.8107532832	0	0	0
25	0.5999554651	0.5163531716	0	1	0.8107532832	0	0	0
26	0.6000701476	0.513867807	0	1	0.8107532832	0	0	0
27	0.6000860521	0.5116018776	0	1	0.8107532832	0	0	0
28	0.6001984682	0.5095354954	0	1	0.8107532832	0	0	0
29	0.6002629592	0.507580898	0	1	0.8107532832	0	0	0
30	0.6003517071	0.5056570226	0	1	0.8107532832	0	0	0
31	0.6005336146	0.5038535137	0	1	0.8107532832	0	0	0
32	0.6005106636	0.5021841599	0	1	0.8107532832	0	0	0
33	0.6006563597	0.5006165591	0	1	0.8107532832	0	0	0
34	0.6006869842	0.499137752	0	1	0.8107532832	0	0	0
35	0.6006982851	0.4977354888	0	1	0.8107532832	0	0	0
36	0.6008681088	0.4964658022	0	1	0.8107532832	0	0	0
37	0.6009114732	0.4952503062	0	1	0.8107532832	0	0	0
38	0.6012410404	0.494086186	0	1	0.8107532832	0	0	0
39	0.6013851984	0.4929904554	0	1	0.8107532832	0	0	0
40	0.6016470438	0.4920278872	0	1	0.8107532832	0	0	0
41	0.6017735764	0.4910591566	0	1	0.8107532832	0	0	0
42	0.6018167001	0.4901710036	0	1	0.8107532832	0	0	0
43	0.601790312	0.4893529025	0	1	0.8107532832	0	0	0
44	0.6018346231	0.4885634792	0	1	0.8107532832	0	0	0
45	0.6018618689	0.4878422875	0	1	0.8107532832	0	0	0
46	0.6017743395	0.4871799151	0	1	0.8107532832	0	0	0
47	0.6017730153	0.4865056299	0	1	0.8107532832	0	0	0
48	0.6018101056	0.4859497232	0	1	0.8107532832	0	0	0
49	0.6018947991	0.4853473393	0	1	0.8107532832	0	0	0
50	0.6019851704	0.4847921747	0	1	0.8107532832	0	0	0
51	0.6020059146	0.4842788303	0	1	0.8107532832	0	0	0
52	0.6020601562	0.4838355184	0	1	0.8107532832	0	0	0
53	0.6020863861	0.4833680324	0	1	0.8107532832	0	0	0
54	0.6020511362	0.4829695992	0	1	0.8107532832	0	0	0
55	0.6020946017	0.4825640332	0	1	0.8107532832	0	0	0
56	0.602174071	0.4821657673	0	1	0.8107532832	0	0	0
57	0.6022468514	0.4818006287	0	1	0.8107532832	0	0	0
58	0.6023209036	0.4814380146	0	1	0.8107532832	0	0	0
59	0.602361403	0.4811569317	0	1	0.8107532832	0	0	0
60	0.6023813218	0.480838567	0	1	0.8107532832	0	0	0
61	0.6024317537	0.4805285746	0	1	0.8107532832	0	0	0
62	0.6024660784	0.4802515218	0	1	0.8107532832	0	0	0
63	0.6025287473	0.4800215286	0	1	0.8107532832	0	0	0
64	0.6025619937	0.4798047132	0	1	0.8107532832	0	0	0
65	0.6026871037	0.4795741713	0	1	0.8107532832	0	0	0
66	0.6027167166	0.4793841939	0	1	0.8107532832	0	0	0
67	0.6027905674	0.4791532227	0	1	0.8107532832	0	0	0
68	0.6029024702	0.4789728624	0	1	0.8107532832	0	0	0
69	0.6028911877	0.4787864208	0	1	0.8107532832	0	0	0
70	0.6029687452	0.478597892	0	1	0.8107532832	0	0	0
71	0.6030140466	0.4784225239	0	1	0.8107532832	0	0	0
72	0.6030543801	0.4782879759	0	1	0.8107532832	0	0	0
73	0.6031136911	0.4781202986	0	1	0.8107532832	0	0	0
74	0.6031358238	0.4779752286	0	1	0.8107532832	0	0	0
75	0.6033863342	0.4777922155	0	1	0.8107532832	0	0	0
76	0.6034812203	0.4776565845	0	1	0.8107532832	0	0	0
77	0.6036250399	0.477535213	0	1	0.8107532832	0	0	0
78	0.6037405292	0.4773970218	0	1	0.8107532832	0	0	0
79	0.6037870606	0.4772870839	0	1	0.8107532832	0	0	0
80	0.603906132	0.4771481432	0	1	0.8107532832	0	0	0
81	0.603998984	0.4770503046	0	1	0.8107532832	0	0	0
82	0.6040417385	0.4769457269	0	1	0.8107532832	0	0	0
83	0.6041141518	0.4768418529	0	1	0.8107532832	0	0	0
84	0.6042744424	0.476740842	0	1	0.8107532832	0	0	0
85	0.6043830279	0.4766647622	0	1	0.8107532832	0	0	0
86	0.6043982803	0.4765800178	0	1	0.8107532832	0	0	0
87	0.6044661639	0.4765210268	0	1	0.8107532832	0	0	0
88	0.6044827511	0.4764516998	0	1	0.8107532832	0	0	0
89	0.6045630674	0.4763641867	0	1	0.8107532832	0	0	0
90	0.6046511945	0.4763041431	0	1	0.8107532832	0	0	0
91	0.6046791435	0.4762429065	0	1	0.8107532832	0	0	0
92	0.6047449518	0.4761895873	0	1	0.8107532832	0	0	0
93	0.6048171247	0.4761283611	0	1	0.8107532832	0	0	0
94	0.6049105801	0.4760502519	0	1	0.8107532832	0	0	0
95	0.6050039227	0.4759977023	0	1	0.8107532832	0	0	0
96	0.6050794834	0.4759366546	0	1	0.8107532832	0	0	0
97	0.6051104579	0.4758838714	0	1	0.8107532832	0	0	0
98	0.6051928971	0.4758466465	0	1	0.8107532832	0	0	0
99	0.6053270066	0.4757816664	0	1	0.8107532832	0	0	0
